entrez	target gene	target probe	source probe	Score
276919	Gemin4	1433622_at	1418127_a_at	0.619995
622531	Gm6330	1433622_at	1418127_a_at	0.619995
67201	Glod4	1433622_at	1418127_a_at	0.619995
12649	Chek1	1449708_s_at	1418127_a_at	0.619958
224088	Atp13a3	1434513_at	1418127_a_at	0.619551
12462	Cct3	1448178_a_at	1418127_a_at	0.619395
12419	Cbx5	1454636_at	1418127_a_at	0.619384
68014	Zwilch	1416757_at	1418127_a_at	0.619317
68043	N6amt2	1449072_a_at	1418127_a_at	0.619181
67105	Timm21	1452785_at	1418127_a_at	0.619070
209003	Rbmx2	1424705_at	1418127_a_at	0.618905
50933	Uchl3	1449855_s_at	1418127_a_at	0.618599
93841	Uchl4	1449855_s_at	1418127_a_at	0.618599
109079	Sephs1	1454792_s_at	1418127_a_at	0.618508
67669	l7Rn6	1419351_a_at	1418127_a_at	0.618159
68988	Prpf31	1448633_at	1418127_a_at	0.617999
68240	Rpa3	1448938_at	1418127_a_at	0.617928
57441	Gmnn	1417506_at	1418127_a_at	0.617857
56070	Tcerg1	1434434_s_at	1418127_a_at	0.617789
230908	Tardbp	1423723_s_at	1418127_a_at	0.617705
70247	Psmd1	1429291_at	1418127_a_at	0.617444
52009	Hn1l	1433696_at	1418127_a_at	0.617290
214572	Prmt7	1451248_at	1418127_a_at	0.616842
69912	Nup43	1432188_s_at	1418127_a_at	0.616071
230027	Coq3	1436351_at	1418127_a_at	0.616042
12572	Cdk7	1451741_a_at	1418127_a_at	0.615633
72612	2700029M09Rik	1452877_at	1418127_a_at	0.615482
67553	Gstcd	1429395_at	1418127_a_at	0.615240
72201	Otud6b	1428277_at	1418127_a_at	0.615017
104884	Tdp1	1426492_at	1418127_a_at	0.614974
382038	Urb2	1435379_at	1418127_a_at	0.614934
66603	Gemin2	1451044_at	1418127_a_at	0.614880
100608	Noc4l	1443794_x_at	1418127_a_at	0.614873
70620	Ube2v2	1417983_a_at	1418127_a_at	0.614852
12465	Cct5	1417258_at	1418127_a_at	0.614784
67005	Polr3k	1439266_a_at	1418127_a_at	0.614394
20937	Suv39h1	1427382_a_at	1418127_a_at	0.614231
105148	Iars	1426705_s_at	1418127_a_at	0.614133
218973	Wdhd1	1435114_at	1418127_a_at	0.613927
12033	Bcap29	1417077_at	1418127_a_at	0.613559
100042069	Gm15210	1415852_at	1418127_a_at	0.613413
23918	Impdh2	1415852_at	1418127_a_at	0.613413
18221	Nudc	1419472_s_at	1418127_a_at	0.613245
235559	Topbp1	1452241_at	1418127_a_at	0.613058
230721	Pabpc4	1451296_x_at	1418127_a_at	0.612812
270685	Mthfd1l	1456653_a_at	1418127_a_at	0.612770
26754	Cops5	1460171_at	1418127_a_at	0.611924
67187	Zmynd19	1419522_at	1418127_a_at	0.611777
53600	Timm23	1416485_at	1418127_a_at	0.611604
67811	Poldip2	1422732_at	1418127_a_at	0.611057
59001	Pole3	1452743_at	1418127_a_at	0.610986
18393	Orc2	1418226_at	1418127_a_at	0.610875
21915	Dtymk	1449116_a_at	1418127_a_at	0.610304
77048	Cep83	1453045_at	1418127_a_at	0.610147
70422	Ints2	1436247_at	1418127_a_at	0.610138
11991	Hnrnpd	1425142_a_at	1418127_a_at	0.610063
69577	Fastkd3	1452797_at	1418127_a_at	0.610063
14000	Drosha	1428656_at	1418127_a_at	0.609580
70885	Ints10	1452810_at	1418127_a_at	0.609287
100088	Rcc1	1416962_at	1418127_a_at	0.609163
69185	Dtwd1	1424697_at	1418127_a_at	0.608417
75430	Anapc15	1424327_at	1418127_a_at	0.608306
237211	Fancb	1437780_at	1418127_a_at	0.608211
11545	Parp1	1435368_a_at	1418127_a_at	0.608085
57750	Wdr12	1448646_at	1418127_a_at	0.607978
269113	Nup54	1433580_at	1418127_a_at	0.607917
56428	Mtch2	1448654_at	1418127_a_at	0.607674
72787	Ndc1	1433813_at	1418127_a_at	0.607289
16211	Kpnb1	1448526_at	1418127_a_at	0.607234
64704	Htra2	1460495_s_at	1418127_a_at	0.607130
66446	Exosc7	1448365_at	1418127_a_at	0.607000
19167	Psma3	1448442_a_at	1418127_a_at	0.606711
22099	Tsn	1416908_s_at	1418127_a_at	0.605861
19076	Prim2	1418036_at	1418127_a_at	0.605835
