entrez	target gene	target probe	source probe	Score
68316	Apoo	1452800_a_at	1418127_a_at	0.542873
56322	Timm22	1448517_at	1418127_a_at	0.542872
56397	Morf4l2	1439432_x_at	1418127_a_at	0.542359
230484	Usp1	1451080_at	1418127_a_at	0.542186
22193	Ube2e3	1448670_at	1418127_a_at	0.541914
11739	Slc25a4	1434897_a_at	1418127_a_at	0.541873
72567	Bclaf1	1428844_a_at	1418127_a_at	0.541766
94062	Mrpl3	1422464_at	1418127_a_at	0.541695
235339	Dlat	1426265_x_at	1418127_a_at	0.541193
70225	Ppil3	1429627_at	1418127_a_at	0.541092
74143	Opa1	1449214_a_at	1418127_a_at	0.540847
74196	Ttc27	1452665_at	1418127_a_at	0.540430
107572	Mchm2	1434079_s_at	1418127_a_at	0.539989
17216	Mcm2	1434079_s_at	1418127_a_at	0.539989
100504494	Gm20253	1448347_a_at	1418127_a_at	0.539923
53872	Caprin1	1448347_a_at	1418127_a_at	0.539923
12530	Cdc25a	1417132_at	1418127_a_at	0.539878
17220	Mcm7	1439269_x_at	1418127_a_at	0.539721
78895	Pus7l	1428800_a_at	1418127_a_at	0.539316
26754	Cops5	1460171_at	1418127_a_at	0.539246
67694	Ift74	1418942_at	1418127_a_at	0.539240
432508	Cpsf6	1428232_at	1418127_a_at	0.538990
28036	Larp7	1428310_at	1418127_a_at	0.538902
14225	Fkbp1a	1456196_x_at	1418127_a_at	0.538823
233876	Hirip3	1434936_at	1418127_a_at	0.538817
56505	Ruvbl1	1416585_at	1418127_a_at	0.538642
68729	Trim37	1455012_s_at	1418127_a_at	0.538531
67067	Romo1	1420642_a_at	1418127_a_at	0.538360
230649	Atpaf1	1434934_at	1418127_a_at	0.538113
67003	Uqcrc2	1435757_a_at	1418127_a_at	0.537053
319944	Taf2	1434238_at	1418127_a_at	0.536923
19656	Rbmxl1	1416177_at	1418127_a_at	0.536899
12419	Cbx5	1421934_at	1418127_a_at	0.536761
70316	Ndufab1	1447919_x_at	1418127_a_at	0.536499
67952	Tomm20	1423081_a_at	1418127_a_at	0.536334
76863	Dcun1d5	1432271_a_at	1418127_a_at	0.535990
103468	Nup107	1426751_s_at	1418127_a_at	0.535939
72117	Naa50	1428409_at	1418127_a_at	0.535528
67781	Ilf2	1417948_s_at	1418127_a_at	0.535515
70572	Ipo5	1426946_at	1418127_a_at	0.535279
235559	Topbp1	1452241_at	1418127_a_at	0.535257
78581	Utp23	1447704_s_at	1418127_a_at	0.535171
99890	Prmt6	1425059_at	1418127_a_at	0.535167
17219	Mcm6	1438852_x_at	1418127_a_at	0.534980
231889	Bud31	1439466_s_at	1418127_a_at	0.534843
13626	Eed	1448653_at	1418127_a_at	0.534608
23874	Farsb	1435103_x_at	1418127_a_at	0.534490
26885	Casp8ap2	1449217_at	1418127_a_at	0.534209
