"NAME","GSM538201","GSM538202","GSM538203","GSM538382","GSM538383","GSM538384","GSM538415","GSM538416","GSM538417"
"OLFR1477",6.4918,7.3687,6.4934,7.2743,7.9341,6.6981,7.6153,7.0236,10.2179
"OLFR1480",13.0217,13.3412,11.9335,11.2865,14.2309,11.3242,23.6764,16.9713,15.1187
"OLFR1484",12.301,12.4256,14.5191,12.5717,13.8891,12.6282,18.4234,19.7593,13.6718
"OLFR1487",8.1977,8.6945,8.2875,9.7982,10.5761,7.9107,13.7048,22.7566,12.2857
"OLFR1489",8.505,11.5186,10.8733,9.3958,10.557,12.7284,13.2901,11.7222,9.1239
"OLFR1490",26.5006,30.6564,29.2408,32.0263,30.8916,35.3906,24.1137,29.3568,31.12
"OLFR1491",51.4747,39.7375,43.4755,39.1592,46.3953,53.5039,46.127,69.6472,39.3238
"OLFR1494",12.2753,13.1478,13.308,9.7109,11.9113,10.6608,17.468,11.4396,12.006
"OLFR1495",28.4269,27.7101,38.7498,30.4891,26.2812,37.8869,40.9577,50.9216,41.6218
"OLFR1496",8.1929,7.6363,7.8439,9.5175,8.3899,9.6691,15.5579,11.1838,9.0223
"OLFR1502",33.4177,30.7134,33.694,40.2367,32.2591,29.044,42.1062,37.7255,37.0652
"OLFR1505",18.524,19.2509,20.7669,17.6583,19.0095,17.0127,24.5816,20.2685,22.1452
"GNAQ",208.9087,190.4497,165.8355,73.0952,69.8459,70.4353,97.5613,127.1509,69.836
"GNA14",33.1756,42.6391,41.2408,38.0168,39.0486,39.8937,54.055,41.035,48.6047
"GM9806",49.5142,42.0643,35.8075,35.5748,30.7101,37.7464,53.4671,41.1188,46.7132
"PRUNE2",35.1789,32.0259,33.4956,33.6312,29.4163,34.2671,55.7875,48.7993,34.3649
"RFK",828.9322,964.6465,892.6114,552.8325,532.2484,553.5518,353.804,298.0201,305.8983
"NMRK1",47.0155,49.9658,40.8564,33.3682,32.3117,27.5096,27.2233,43.5209,39.3217
"D030056L22RIK",207.0296,197.014,145.2135,261.9977,271.2501,203.3209,66.3952,156.3104,86.3301
"TRPM6",26.3725,30.4895,29.2463,32.6181,35.3849,32.4769,52.2248,47.9198,39.6085
"1500015L24RIK",18.6878,18.6511,19.4129,14.6012,19.542,18.8651,22.7094,28.1512,21.3487
"ALDH1A1",44.1067,46.4522,40.4192,37.3608,35.0948,42.9269,42.6925,51.6836,35.9659
"ZFAND5",635.9935,567.5462,508.6129,363.5269,397.197,352.281,220.8121,251.4921,281.5723
"ABHD17B",1053.3468,1051.789,980.7219,203.2531,184.393,140.4111,114.3892,116.9143,147.8928
"TMEM2",150.8112,111.4923,119.5884,55.9196,61.5385,51.4529,70.07,54.6463,46.3471
"LDHB",35.3584,36.1917,41.9051,110.2754,95.4545,97.1568,71.6618,53.3115,70.966
"TRPM3",37.4702,42.1288,40.0247,37.5561,38.0179,43.8068,63.5813,59.6294,56.234
"MIR204",14.9809,17.1284,17.0708,14.3127,14.9641,21.2892,15.5174,16.7003,15.6657
"KLF9",89.0197,95.4411,93.2865,82.5566,85.7621,74.1436,68.2739,94.8075,105.4965
"PTAR1",324.5298,344.1758,301.2894,311.9322,337.3537,283.8145,153.5147,175.278,215.7019
"GM9938",290.6125,254.87,249.3905,214.1943,222.0889,180.4441,98.6795,111.0567,151.2455
"APBA1",39.8852,39.7301,49.1032,36.2968,36.9145,45.1212,85.2611,48.4946,57.3929
"1700021P04RIK",22.7973,23.3183,19.1443,17.211,18.5473,15.9551,28.5543,27.849,21.9855
"TMEM252",23.7339,26.0334,28.3783,31.9219,19.5749,26.1519,37.8153,30.502,22.5476
"CYCS",253.9971,204.8831,162.9966,238.4451,236.0614,189.4824,86.5289,110.7255,136.6703
"DOCK8",1786.4671,1686.3936,1768.4328,1721.8201,1717.4879,1759.4846,1302.1627,1505.0338,1705.6038
"KANK1",38.0747,44.4016,47.4153,46.2139,38.8866,53.9693,52.5801,40.0843,48.4882
"DMRT1",47.087,53.1602,56.214,56.4145,48.3166,61.0081,90.6688,61.3508,69.802
"DMRT3",110.2793,133.5851,129.0038,95.5554,110.859,152.4197,170.4151,128.9686,143.1799
"DMRT2",34.5896,39.9423,51.1559,38.5019,39.7324,50.583,78.0235,29.7821,46.7602
"SMARCA2",524.259,461.4135,437.4152,508.0436,493.7979,452.9191,345.1537,393.6419,437.554
"GM815",30.6232,34.0411,40.7828,40.3203,29.4547,37.7968,34.6832,32.7772,34.683
"VLDLR",32.1342,39.9967,40.0801,35.2911,34.9942,46.9799,49.5745,43.8478,45.0881
"KCNV2",49.2027,48.0107,63.6698,43.3423,50.537,58.5904,73.8431,68.3202,48.8317
"C030016D13RIK",76.7509,98.9126,88.5978,86.2088,73.904,75.5673,60.6771,61.9063,68.5849
"SLC1A1",31.2263,33.9476,39.4644,32.8997,35.3874,44.8031,50.7712,46.778,46.4522
"PLPP6",189.3319,171.4556,182.3344,184.9086,202.389,236.3378,222.7618,205.8756,220.8702
"CDC37L1",469.8625,469.1071,409.2577,411.4791,446.1435,394.4494,237.1352,262.717,240.1676
"GM9895",68.2142,72.5162,79.1778,54.1432,70.5605,72.1821,104.2744,80.4485,88.733
"RCL1",216.3001,199.4816,189.3931,259.3689,228.6891,220.8951,278.0706,316.0315,301.523
"MIR101B",15.6962,16.5818,16.4125,19.5139,17.1703,17.1863,31.0159,29.2946,17.93
"GM9883",59.9901,61.2195,61.9011,64.1212,69.0413,70.5787,53.9351,72.7658,57.8292
"JAK2",869.5475,840.0479,872.9253,644.6745,706.6833,606.8015,341.2895,396.4554,485.2199
"CD274",507.0934,456.8341,451.2969,399.6247,326.2913,325.7885,205.9771,222.7956,299.5884
"PDCD1LG2",115.2633,108.0225,83.5295,40.2313,44.7282,46.7143,40.3654,43.2624,37.2889
"RIC1",446.6714,440.2065,451.9552,296.3826,273.4561,280.9208,246.4683,297.4745,338.9952
"MLANA",76.5443,69.833,81.3703,68.0268,73.4675,90.5316,108.5643,72.5341,88.5187
"IL33",20.6084,18.0524,22.4759,26.423,21.1606,24.2822,34.7922,32.8281,27.5961
"TRPD52L3",33.9627,48.6085,46.4024,41.6549,36.8254,42.8534,45.7403,42.4304,39.9569
"UHRF2",379.3826,420.1156,342.5269,376.1351,369.8619,370.1153,260.5279,274.2776,302.9889
"MBL2",91.1071,91.4459,67.8404,80.5901,64.5571,83.9863,114.1571,92.7453,81.6193
"CSTF2T",257.5926,222.4958,225.8407,288.868,327.8993,222.2379,151.303,219.44,218.2122
"A1CF",7.8702,8.4824,8.201,9.5621,9.5204,10.0848,10.9036,11.1791,9.7331
"2700046G09RIK",51.6497,53.1165,63.4676,60.871,61.8342,68.5686,96.2829,59.0017,64.763
"MINPP1",93.4771,97.9591,87.367,180.5716,191.5137,127.6457,135.4265,151.1297,136.4195
"PAPSS2",20.0019,23.5148,23.9003,21.2967,25.2737,20.4312,38.4846,24.9696,26.5275
"PTEN",1874.4883,1897.1448,1907.6164,1167.4323,1206.7968,1488.1977,720.1522,824.9145,955.6283
"LIPF",11.8318,12.4346,10.7409,10.7401,10.28,10.9772,14.5187,13.4655,12.4611
"LIPK",9.4801,8.7843,8.2314,8.728,9.7331,9.7628,13.2112,11.9084,11.4144
"LIPN",14.5274,17.3089,18.6843,17.4183,18.0792,20.2255,18.1762,20.548,19.7529
"LIPM",21.2883,24.8948,29.0851,25.2933,24.8546,34.3385,24.5985,40.0934,29.4228
"STAMBPL1",305.045,345.0873,313.212,638.2872,689.6397,602.2858,291.6843,370.1417,399.5016
"FAS",54.7643,47.721,45.6448,175.13,207.496,186.7867,74.3502,77.8035,156.6174
"IFIT2",85.1479,89.7254,84.7628,340.7669,339.7253,228.7826,74.7462,74.3047,152.0915
"IFIT3",79.7026,55.7876,67.9652,63.9398,66.5025,56.2081,27.6573,62.6848,115.634
"IFIT3B",20.2331,17.9085,14.1614,17.4008,17.4431,17.9358,15.5168,12.8017,36.3944
"IFIT1",53.7118,47.3418,44.9861,188.683,229.6229,158.6163,50.3671,58.8599,174.0142
"KIF20B",102.3759,100.2251,97.2718,52.1406,50.2509,47.328,31.9762,31.2401,47.5165
"RPP30",223.4509,205.4031,185.0819,183.4129,187.9553,148.3772,101.2445,113.5532,167.7231
"PCGF5",181.6409,166.4527,136.649,317.0212,336.3443,271.4433,136.7543,134.3801,149.6488
"HECTD2",23.0442,20.9227,22.8286,88.8268,78.4566,77.1498,35.4065,50.6692,42.0523
"TNKS2",1210.6905,1270.7666,1217.9799,1305.5016,1351.508,1313.7127,837.2727,873.8554,1042.5776
"BTAF1",795.0659,677.4084,714.8784,569.7903,628.6524,558.7498,283.0204,370.8713,402.4014
"MARCH5",236.7512,226.3053,217.9212,289.2531,378.217,318.7407,194.0497,203.3658,232.67
"KIF11",26.7005,20.7849,25.4546,26.217,27.1633,32.1441,31.643,37.2674,30.0934
"HHEX",773.5446,718.476,665.2067,29.4314,36.0448,43.6038,32.9143,58.3502,37.9621
"EXOC6",725.203,607.7096,732.7017,413.6904,398.7301,322.373,196.4284,219.7396,264.6376
"CYP26C1",52.5867,52.3126,58.1176,54.594,51.738,66.7911,56.3831,58.3441,54.1437
"CYP26A1",27.2077,29.7407,30.0507,32.4772,28.9994,33.583,59.3287,49.8393,45.4708
"CEP55",31.2974,28.7047,27.7064,23.2808,21.445,26.6591,25.3285,40.6697,23.0035
"FFAR4",30.666,33.2754,31.6571,30.6258,27.1335,33.3815,45.9835,41.719,30.7161
"PDE6C",19.8194,20.9026,21.986,19.4307,18.3702,21.3504,26.9126,28.5026,24.2709
"LGI1",10.6119,11.2396,11.3775,11.78,14.2987,12.2221,18.5446,13.3166,13.5398
"SLC35G1",109.0528,115.0891,140.7704,394.8788,480.5373,463.2509,611.5722,624.928,564.2043
"PLCE1",30.5972,30.7013,33.9887,29.2435,35.5585,37.6384,42.7281,31.933,34.1384
"TBC1D12",95.131,94.0801,100.9214,53.3582,62.856,56.6383,55.5473,48.9074,64.1166
"HELLS",134.4693,123.2664,100.5496,98.009,97.434,111.118,52.4471,71.3488,87.0341
"CYP2C55",11.6609,12.1642,12.3664,15.5188,13.4639,14.535,24.1751,23.3075,14.7415
"CYP2C65",13.8503,13.9017,18.0879,16.5493,12.6956,13.3486,17.6207,45.9059,23.6146
"CYP2C66",31.5747,40.6993,44.0628,34.8142,29.0032,49.225,36.6823,32.8792,36.0523
"CYP2C29",14.1264,14.4519,14.7421,13.9087,14.1194,13.7097,29.3968,25.958,25.8477
"CYP2C39",13.085,13.492,12.5291,16.1626,11.9984,16.9839,23.0208,17.4283,18.2679
"CYP2C37",47.0647,48.9237,47.9408,52.886,56.4148,45.9386,66.4548,72.9816,52.2593
"CYP2C50",12.3876,10.4356,10.295,13.2723,13.1907,14.0907,19.2284,17.8336,12.9003
"E130009M23RIK",40.9067,39.1959,41.0254,39.6822,39.5536,38.3965,65.3151,75.8974,57.4565
"ENTPD1",160.7948,170.158,163.9521,56.4472,40.2868,51.9869,68.8975,36.2087,44.4276
"CCNJ",260.2481,241.5645,252.1383,134.5365,124.0287,100.0116,118.0816,124.8967,97.4973
"ZFP518A",239.9208,211.7019,188.4382,153.9557,194.0402,144.8885,48.35,56.1145,68.4272
"DNTT",26.1268,30.5091,31.6194,52.9149,50.7855,62.9032,48.3291,53.7379,43.5334
"LCOR",748.676,713.9027,697.5029,640.1189,627.6886,581.887,324.1738,423.0929,473.121
"GM340",360.4859,326.1919,340.1788,308.7163,280.4501,265.4253,165.1826,302.4336,287.4989
"AI606181",324.3513,295.1248,280.4878,260.0132,282.2963,250.2372,223.0522,129.2436,226.5523
"FRAT1",289.2028,266.3787,239.5538,336.6642,328.2786,248.5617,303.6219,306.3609,257.8625
"PGAM1",294.183,282.259,270.3031,305.2685,283.0651,242.9918,339.1973,411.2169,366.4877
"ZDHHC16",229.0251,214.9916,201.0642,254.8113,268.9248,209.1475,142.9148,188.979,173.9528
"UBTD1",140.0853,151.6261,156.3729,190.8989,182.0506,183.8527,185.7196,159.8545,172.0913
"ANKRD2",50.6686,59.6779,65.2941,66.8495,50.2951,69.2749,72.064,95.1212,74.6222
"HOGA1",38.5116,45.5887,42.0182,42.0446,37.184,49.7413,70.2649,58.2263,73.5571
"4933411K16RIK",49.0699,59.9716,48.2265,58.5402,54.8572,63.8915,76.519,65.588,70.8225
"PI4K2A",247.1618,240.1445,217.1296,256.2423,280.409,221.8375,280.3717,180.4369,306.3478
"MARVELD1",94.8575,118.7049,122.6075,345.5125,314.0419,319.7801,350.5904,319.4171,401.1675
"ZFYVE27",307.1816,306.32,314.6455,404.4631,385.4976,365.5939,330.9707,317.0103,333.5915
"GOLGA7B",41.4042,47.9668,48.7461,40.432,38.835,62.5935,65.4329,78.4241,56.5991
"R3HCC1L",326.6063,315.7233,310.6736,284.0801,273.8115,238.4167,203.5726,213.6406,248.8503
"LZTFL1",188.1267,171.4172,128.3927,133.4066,151.8533,122.4873,51.474,61.5522,67.2226
"CNNM1",46.6408,45.103,44.2946,41.7254,46.262,54.8146,43.4714,43.4029,38.0268
"NKX2-3",70.649,79.7924,82.8127,68.9441,79.1085,121.1349,121.6204,122.7701,112.6976
"ENTPD7",172.8881,154.6996,147.6042,117.1977,107.6455,121.6642,81.9253,77.8193,103.0213
"CUTC",145.1686,147.3481,125.3026,98.1582,90.8607,83.8363,105.2584,94.9752,105.5603
"ABCC2",30.4804,31.469,30.8363,31.4749,26.3578,36.3461,40.9309,34.0938,30.0545
"GM10768",7.9226,7.5998,7.8761,9.1257,7.5992,7.8656,13.4093,14.2859,10.4413
"1700084K02RIK",25.3389,29.4164,31.1422,31.1006,21.9737,35.9266,45.4965,44.5365,38.5939
"SCD3",34.2588,34.8075,35.8202,29.6371,34.0733,35.6245,35.7497,51.2697,39.5882
"SCD2",390.1919,333.5653,433.7854,439.4544,461.6268,400.8533,385.9469,354.0272,445.091
"SCD4",29.5849,29.9524,34.6579,25.6921,30.3102,33.9754,37.4266,38.6857,44.4136
"WNT8B",26.2362,28.7509,30.6324,21.8846,31.4423,38.7558,68.2923,54.4194,36.7704
"HIF1AN",457.6768,403.6234,368.5191,388.3731,429.3033,349.1494,236.1496,225.7065,269.1366
"PAX2",66.5422,65.2549,70.8377,72.3727,74.1508,86.7907,124.6718,111.4481,91.9559
"FAM178A",930.364,845.7988,896.0971,432.7717,479.5938,437.53,128.7233,294.4412,295.9124
"SEMA4G",54.1015,54.1382,58.3084,50.9633,55.7687,57.0942,70.534,68.3029,75.416
"PEO1",133.9093,122.3451,123.3516,160.0074,160.7344,121.059,108.0836,106.7349,136.8021
"LZTS2",101.4167,101.4913,108.3494,105.1503,85.176,96.0247,110.6308,111.0276,94.9133
"SFXN3",422.7166,468.0521,500.6879,518.899,553.9336,460.6501,471.1461,802.8543,640.8712
"KAZALD1",23.749,28.1641,24.8199,25.7209,25.5584,34.6479,50.993,53.6288,40.9167
"TLX1",46.1667,53.1522,53.2452,47.6076,49.3224,71.2803,68.8848,92.4384,67.3344
"BTRC",346.1684,362.4714,310.4599,243.9458,246.8381,192.5652,183.082,257.3703,168.5822
"DPCD",181.731,201.0287,185.0036,159.4435,217.2431,198.6017,225.6675,199.8004,217.4964
