GeneSymbol,proB_CLP_BM,proB_FrA_BM,proB_FrBC_BM,preB_FrC_BM,preB_FrD_BM,B_FrE_BM,B_FrF_BM,B_Fo_Sp,preT_ETP_Th,preT_DN2_Th,preT_DN3A_Th,preT_DN3B_Th,T_DN4_Th,T_DP_Th,T_4SP24._Th,T_8SP24._Th,T_4Nve_Sp,T_8Nve_Sp
GM10548,77.0936,76.6188,105.171,68.8696,110.891,102.844,127.835,146.732,69.9066,70.1871,72.7545,71.3498,80.5971,104.212,93.493,82.014,111.176,101.008
REEP5,311.129,322.398,383.879,353.886,372.924,559.472,523.701,548.429,279.537,324.476,199.31,204.587,318.191,244.888,528.623,527.199,331.926,284.399
NME5,15.1561,16.7986,15.7785,15.341,15.1387,15.8854,14.3119,15.4751,13.8093,13.2596,15.7339,13.8396,15.4943,21.102,14.9766,14.1469,14.7371,18.6756
4933408B17RIK,14.1548,14.2168,18.0134,17.616,15.2926,14.8879,19.7485,15.1797,13.6165,12.6853,12.6702,13.7181,15.4468,15.8091,12.4426,13.7352,13.7456,14.0337
BRD8,512.293,482.94,591.259,868.178,601.632,441.052,443.554,455.204,406.368,443.581,396.601,430.262,506.952,393.3,301.532,298.099,362.967,252.609
CDC23,511.6,401.638,444.635,630.227,400.546,341.246,345.158,425.762,496.64,553.976,600.065,709.292,744.528,394.213,468.703,477.445,519.076,322.106
GFRA3,53.16,67.861,46.3806,46.075,57.7513,69.2864,65.3834,53.7301,55.2023,54.0344,55.6375,53.6961,60.4869,77.192,60.0633,51.5286,60.4619,76.6381
CDC25C,117.135,112.389,150.039,429.299,130.551,51.8301,28.0218,25.2698,59.7517,90.6649,45.567,157.913,142.81,72.5859,43.9245,46.183,23.3258,25.4968
ETF1,484.651,378.157,672.28,799.495,396.12,321.538,281.148,375.794,548.434,525.177,290.598,702.476,576.216,292.227,453.698,456.027,468.374,301.137
HSPA9,1878.54,1403.17,1511.25,2187.36,660.495,830.167,882.777,1136.95,1842.39,1682.65,847.152,1995.5,1618.63,397.103,1071.69,1252.92,955.41,1009.14
LRRTM2,33.765,39.1373,38.0087,33.2865,36.2469,44.0587,45.1535,49.5703,47.2676,36.3425,37.4234,33.5502,35.68,42.4498,37.6231,32.5891,34.0611,35.696
SIL1,330.402,342.823,236.747,244.523,204.679,254.933,239.086,214.369,343.533,310.549,317.825,298.114,257.583,174.943,305.293,257.682,215.907,181.101
SLC23A1,66.2751,78.523,102.57,115.433,110.816,101.623,95.0525,89.1068,67.1532,60.7823,76.445,60.2898,69.3557,83.6186,66.8533,60.9264,65.1987,70.6703
2010001M09RIK,95.0431,181.105,632.765,459.303,399.124,244.799,339.566,296.364,67.331,101.775,138.717,80.0446,69.2174,80.384,64.2471,64.2098,65.8799,75.7287
GM1614,66.2978,74.2816,73.0153,94.6394,70.6261,72.9098,71.1738,53.5724,56.7495,69.0553,81.2668,73.3969,58.1263,76.1974,58.0456,60.6691,41.8249,75.2845
SPATA24,125.388,112.78,104.939,192.994,95.1834,69.0683,73.9985,70.7502,95.19,143.667,130.549,140.253,114.643,54.0277,61.4151,76.4053,43.763,52.4516
DNAJC18,103.333,92.3539,95.6819,121.671,114.412,115.244,113.646,110.593,102.914,109.397,101.516,119.395,106.237,90.3702,118.847,139.514,111.821,98.238
ECSCR,73.4605,80.9029,61.0463,67.5285,64.4095,67.4573,74.4318,72.1026,71.2842,73.4194,86.1314,73.7461,80.5712,95.452,68.3051,70.4354,68.6128,62.3151
TMEM173,1419.4,1240.15,641.656,439.226,842.591,855.724,1224.07,1387.5,1625.82,1219.83,836.3,504.042,544.194,126.709,1268.73,1165.19,1734.78,1052.92
NRG2,105.565,119.139,110.79,92.5213,91.2219,94.4246,95.2679,95.3109,84.4756,86.245,164.237,140.057,128,186.275,100.58,101.729,89.2001,135.008
PFDN1,142.493,162.297,163.989,258.658,154.14,151.223,147.641,188.553,260.454,276.553,214.043,366.117,310.753,110.871,186.345,169.541,243.451,142.795
HBEGF,52.4721,58.506,44.059,46.8887,45.441,51.7472,52.1458,40.8067,74.3929,68.8848,46.9472,52.4824,47.6503,57.048,50.797,50.3294,50.0388,60.7195
SRA1,226.992,198.635,245.536,282.98,280.962,252.812,257.319,274.301,256.428,238.276,264.263,324.611,274.3,167.115,316.442,322.254,344.731,228.278
APBB3,123.427,114.756,132.912,139.655,157.594,165.632,161.961,182.62,166.625,143.01,186.114,147.192,129.243,119.885,160.063,160.242,227.156,120.832
E230025N22RIK,70.4936,84.3622,62.2706,64.9013,91.1871,93.7876,92.0769,81.3236,79.0442,81.4905,83.35,79.45,72.4833,94.9687,77.5663,69.044,81.7892,115.808
CD14,34.6273,44.3573,39.7514,30.5913,33.8187,41.9982,34.666,31.6064,35.054,31.9457,36.3809,28.7934,29.4519,33.0059,33.1753,36.585,35.2867,43.0666
NDUFA2,249.048,253.24,309.946,381.191,252.243,178.419,183.275,216.654,347.749,335.219,296.866,425.351,393.009,167.635,307.109,337.971,298.329,200.578
