"Genes","Curated_pathway","Database_ID","Database_pathway_name"
"BAG1","Protein synthesis","KEGG:04141","Protein processing in ER"
"BAG2","Protein synthesis","KEGG:04141","Protein processing in ER"
"HSPBP1","Protein synthesis","KEGG:04141","Protein processing in ER"
"CRYAA","Protein synthesis","KEGG:04141","Protein processing in ER"
"CRYAB","Protein synthesis","KEGG:04141","Protein processing in ER"
"YOD1","Protein synthesis","KEGG:04141","Protein processing in ER"
"PLAA","Protein synthesis","KEGG:04141","Protein processing in ER"
"RAD23B","Protein synthesis","KEGG:04141","Protein processing in ER"
"RAD23A","Protein synthesis","KEGG:04141","Protein processing in ER"
"UBQLN1","Protein synthesis","KEGG:04141","Protein processing in ER"
"UBQLN3","Protein synthesis","KEGG:04141","Protein processing in ER"
"UBQLN2","Protein synthesis","KEGG:04141","Protein processing in ER"
"UBQLN4","Protein synthesis","KEGG:04141","Protein processing in ER"
"NGLY1","Protein synthesis","KEGG:04141","Protein processing in ER"
"ATXN3","Protein synthesis","KEGG:04141","Protein processing in ER"
"UBE4B","Protein synthesis","KEGG:04141","Protein processing in ER"
"EIF2AK1","Protein synthesis","KEGG:04141","Protein processing in ER"
"EIF2AK2","Protein synthesis","KEGG:04141","Protein processing in ER"
"EIF2AK3","Protein synthesis","KEGG:04141","Protein processing in ER"
"EIF2AK4","Protein synthesis","KEGG:04141","Protein processing in ER"
"EIF2S1","Protein synthesis","KEGG:04141","Protein processing in ER"
"NFE2L2","Protein synthesis","KEGG:04141","Protein processing in ER"
"ATF4","Protein synthesis","KEGG:04141","Protein processing in ER"
"PPP1R15A","Protein synthesis","KEGG:04141","Protein processing in ER"
"DDIT3","Protein synthesis","KEGG:04141","Protein processing in ER"
"BCL2","Protein synthesis","KEGG:04141","Protein processing in ER"
"ATF6","Protein synthesis","KEGG:04141","Protein processing in ER"
"ATF6B","Protein synthesis","KEGG:04141","Protein processing in ER"
"WFS1","Protein synthesis","KEGG:04141","Protein processing in ER"
"MBTPS1","Protein synthesis","KEGG:04141","Protein processing in ER"
"MBTPS2","Protein synthesis","KEGG:04141","Protein processing in ER"
"XBP1","Protein synthesis","KEGG:04141","Protein processing in ER"
"ERN1","Protein synthesis","KEGG:04141","Protein processing in ER"
"TRAF2","Protein synthesis","KEGG:04141","Protein processing in ER"
"MAP3K5","Protein synthesis","KEGG:04141","Protein processing in ER"
"MAP2K7","Protein synthesis","KEGG:04141","Protein processing in ER"
"MAPK8","Protein synthesis","KEGG:04141","Protein processing in ER"
"MAPK9","Protein synthesis","KEGG:04141","Protein processing in ER"
"MAPK10","Protein synthesis","KEGG:04141","Protein processing in ER"
"BAX","Protein synthesis","KEGG:04141","Protein processing in ER"
